,rw,gb,ms,fa,rs,total
zALFF_17Networks_RH_ContC_Cingp_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_ContC_pCun_3,NA,NA,NA,1,1,NA
zALFF_17Networks_RH_ContB_PFCmp_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_ContB_PFClv_3,NA,NA,NA,0.39651115,NA,1
zALFF_17Networks_RH_ContB_PFCld_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_ContB_IPL_4,NA,NA,1,NA,NA,NA
zALFF_17Networks_RH_ContB_IPL_1,NA,1,NA,NA,NA,NA
zALFF_17Networks_RH_ContB_Temp_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_ContA_Cingm_1,1,NA,NA,NA,NA,NA
zALFF_17Networks_RH_ContA_PFCl_5,NA,NA,1,NA,0.937735792,1
zALFF_17Networks_RH_ContA_PFCl_4,1,NA,NA,NA,0.414843749,0.918156352
zALFF_17Networks_RH_ContA_PFCl_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_LimbicA_TempPole_6,NA,NA,1,NA,NA,NA
zALFF_17Networks_RH_SalVentAttnB_PFCmp_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_SalVentAttnB_PFCl_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_SalVentAttnA_FrOper_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SalVentAttnA_Ins_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SalVentAttnA_Ins_2,NA,NA,NA,NA,1,1
zALFF_17Networks_RH_SalVentAttnA_PrC_1,NA,NA,1,NA,1,1
zALFF_17Networks_RH_SalVentAttnA_ParOper_2,NA,NA,NA,NA,0.900803897,1
zALFF_17Networks_RH_SalVentAttnA_ParOper_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DorsAttnB_FEF_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_DorsAttnB_PostC_6,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DorsAttnB_PostC_3,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_DorsAttnB_PostC_2,0.156836769,1,1,1,0.290157526,0.072254066
zALFF_17Networks_RH_DorsAttnA_SPL_4,NA,1,NA,NA,NA,NA
zALFF_17Networks_RH_DorsAttnA_ParOcc_2,NA,NA,NA,NA,1,1
zALFF_17Networks_RH_DorsAttnA_ParOcc_1,NA,NA,NA,1,1,1
zALFF_17Networks_RH_DorsAttnA_TempOcc_1,NA,NA,NA,1,0.131603953,1
zALFF_17Networks_RH_SomMotB_Cent_3,NA,NA,NA,NA,1,1
zALFF_17Networks_RH_SomMotB_Cent_2,NA,NA,NA,NA,1,1
zALFF_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,0.472206977,1
zALFF_17Networks_RH_SomMotB_S2_5,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotB_Aud_3,NA,NA,NA,NA,0.887905191,NA
zALFF_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotB_Ins_1,NA,NA,1,NA,0.427581295,1
zALFF_17Networks_RH_SomMotB_Aud_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotB_Aud_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotA_20,NA,NA,1,NA,NA,NA
zALFF_17Networks_RH_SomMotA_16,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotA_14,NA,NA,0.429694252,NA,0.402057968,0.41823774
zALFF_17Networks_RH_SomMotA_9,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_SomMotA_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_RH_VisPeri_ExStrInf_4,NA,NA,NA,1,NA,NA
zALFF_17Networks_RH_VisPeri_ExStrInf_3,NA,1,NA,1,NA,1
zALFF_17Networks_RH_VisPeri_ExStrInf_2,NA,NA,NA,1,1,NA
zALFF_17Networks_RH_VisPeri_ExStrInf_1,NA,NA,NA,1,1,1
zALFF_17Networks_RH_VisCent_ExStr_8,NA,1,NA,NA,NA,NA
zALFF_17Networks_RH_VisCent_ExStr_7,NA,1,NA,NA,NA,NA
zALFF_17Networks_RH_VisCent_ExStr_1,NA,NA,NA,0.542914235,1,0.93251923
zALFF_17Networks_LH_TempPar_1,1,NA,NA,NA,NA,NA
zALFF_17Networks_LH_DefaultC_PHC_3,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_DefaultC_PHC_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_DefaultC_PHC_1,NA,NA,NA,0.882823808,NA,1
zALFF_17Networks_LH_DefaultC_Rsp_2,NA,1,NA,0.554219475,NA,1
zALFF_17Networks_LH_DefaultC_Rsp_1,NA,NA,NA,1,NA,1
zALFF_17Networks_LH_DefaultB_PFCv_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DefaultB_PFCv_2,NA,NA,NA,1,NA,1
zALFF_17Networks_LH_DefaultB_PFCd_6,1,NA,NA,NA,NA,NA
zALFF_17Networks_LH_DefaultB_PFCd_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DefaultB_PFCd_3,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DefaultB_Temp_6,1,NA,NA,NA,NA,NA
zALFF_17Networks_LH_DefaultB_Temp_4,1,NA,NA,NA,NA,NA
zALFF_17Networks_LH_DefaultB_Temp_1,NA,1,NA,NA,NA,NA
zALFF_17Networks_LH_DefaultA_pCunPCC_7,NA,NA,NA,1,NA,1
zALFF_17Networks_LH_DefaultA_pCunPCC_6,NA,NA,1,NA,NA,NA
zALFF_17Networks_LH_DefaultA_pCunPCC_1,NA,NA,1,NA,NA,NA
zALFF_17Networks_LH_ContC_Cingp_2,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_ContC_pCun_3,NA,NA,NA,1,1,1
zALFF_17Networks_LH_ContC_pCun_2,NA,1,NA,NA,NA,NA
zALFF_17Networks_LH_ContB_PFClv_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_ContB_IPL_3,NA,NA,1,NA,NA,NA
zALFF_17Networks_LH_ContA_PFCl_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_ContA_PFClv_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_ContA_IPS_5,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_ContA_IPS_4,NA,NA,NA,1,1,1
zALFF_17Networks_LH_LimbicA_TempPole_7,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_LimbicA_TempPole_5,NA,1,NA,NA,NA,NA
zALFF_17Networks_LH_LimbicA_TempPole_2,NA,1,NA,NA,NA,NA
zALFF_17Networks_LH_LimbicA_TempPole_1,NA,1,NA,NA,NA,NA
zALFF_17Networks_LH_LimbicB_OFC_5,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SalVentAttnB_OFC_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SalVentAttnB_PFCl_2,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SalVentAttnA_Ins_2,NA,NA,0.15575506,1,1,0.695790783
zALFF_17Networks_LH_DorsAttnB_PrCv_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_DorsAttnB_FEF_2,NA,NA,NA,0.245502476,1,NA
zALFF_17Networks_LH_DorsAttnB_FEF_1,NA,NA,NA,0.407547367,1,1
zALFF_17Networks_LH_DorsAttnB_PostC_6,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DorsAttnB_PostC_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DorsAttnA_SPL_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_DorsAttnA_TempOcc_4,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SomMotB_Cent_3,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SomMotB_Cent_2,NA,NA,NA,1,0.818805796,NA
zALFF_17Networks_LH_SomMotB_Cent_1,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_SomMotB_S2_4,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_SomMotB_S2_3,NA,NA,0.414953669,NA,NA,NA
zALFF_17Networks_LH_SomMotA_18,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SomMotA_17,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_SomMotA_12,NA,NA,NA,1,1,1
zALFF_17Networks_LH_SomMotA_10,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_SomMotA_9,NA,NA,NA,0.603003215,0.896240165,1
zALFF_17Networks_LH_SomMotA_8,NA,NA,NA,1,1,1
zALFF_17Networks_LH_SomMotA_7,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_SomMotA_3,NA,NA,NA,1,1,1
zALFF_17Networks_LH_SomMotA_2,NA,NA,NA,0.686169943,1,NA
zALFF_17Networks_LH_SomMotA_1,NA,NA,NA,NA,1,1
zALFF_17Networks_LH_VisCent_ExStr_9,NA,NA,NA,NA,1,NA
zALFF_17Networks_LH_VisCent_Striate_1,NA,NA,NA,1,NA,NA
zALFF_17Networks_LH_VisCent_ExStr_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_RH_TempPar_8,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_TempPar_5,NA,NA,1,NA,NA,NA
zDCwei_17Networks_RH_TempPar_4,NA,NA,1,1,1,0.489060469
zDCwei_17Networks_RH_DefaultC_PHC_2,NA,NA,NA,1,NA,NA
zDCwei_17Networks_RH_DefaultB_PFCv_2,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DefaultB_AntTemp_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DefaultA_PFCm_3,NA,NA,NA,1,NA,NA
zDCwei_17Networks_RH_DefaultA_PFCm_1,1,NA,1,1,NA,NA
zDCwei_17Networks_RH_ContB_PFClv_4,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_ContB_PFClv_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_ContB_IPL_3,NA,NA,1,NA,NA,NA
zDCwei_17Networks_RH_ContB_Temp_2,NA,NA,NA,1,NA,NA
zDCwei_17Networks_RH_ContA_PFCl_5,NA,NA,NA,NA,1,1
zDCwei_17Networks_RH_ContA_PFCl_4,NA,NA,NA,NA,1,1
zDCwei_17Networks_RH_SalVentAttnB_PFCl_2,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SalVentAttnB_PFClv_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SalVentAttnA_FrMed_4,NA,NA,1,NA,NA,1
zDCwei_17Networks_RH_SalVentAttnA_ParMed_4,NA,NA,NA,NA,1,1
zDCwei_17Networks_RH_SalVentAttnA_ParMed_2,1,NA,NA,1,1,1
zDCwei_17Networks_RH_SalVentAttnA_ParMed_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_RH_SalVentAttnA_FrMed_1,NA,NA,NA,NA,1,1
zDCwei_17Networks_RH_SalVentAttnA_ParOper_1,NA,NA,NA,0.062439617,0.295865702,0.311887118
zDCwei_17Networks_RH_DorsAttnB_FEF_3,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_DorsAttnB_FEF_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_DorsAttnB_PostC_8,NA,NA,1,NA,1,1
zDCwei_17Networks_RH_DorsAttnB_PostC_5,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_DorsAttnA_SPL_8,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DorsAttnA_SPL_7,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DorsAttnA_SPL_5,1,NA,NA,NA,NA,NA
zDCwei_17Networks_RH_DorsAttnA_TempOcc_1,NA,NA,NA,1,1,1
zDCwei_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,1,1
zDCwei_17Networks_RH_SomMotB_S2_3,NA,NA,1,NA,1,1
zDCwei_17Networks_RH_SomMotB_S2_2,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SomMotB_S2_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SomMotA_9,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SomMotA_7,NA,NA,NA,NA,1,NA
zDCwei_17Networks_RH_SomMotA_6,NA,NA,1,NA,1,1
zDCwei_17Networks_RH_VisPeri_ExStrInf_3,NA,NA,1,NA,NA,NA
zDCwei_17Networks_RH_VisCent_ExStr_4,NA,NA,NA,NA,1,NA
zDCwei_17Networks_LH_TempPar_6,NA,NA,1,NA,NA,NA
zDCwei_17Networks_LH_TempPar_5,0.352668594,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_TempPar_3,0.61382876,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_TempPar_2,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DefaultC_PHC_3,1,NA,1,1,NA,1
zDCwei_17Networks_LH_DefaultC_IPL_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DefaultB_PFCv_2,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_DefaultB_PFCd_6,NA,NA,1,NA,NA,NA
zDCwei_17Networks_LH_DefaultB_PFCd_2,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_DefaultB_Temp_5,1,NA,NA,1,NA,NA
zDCwei_17Networks_LH_DefaultA_pCunPCC_1,NA,1,NA,NA,NA,NA
zDCwei_17Networks_LH_ContC_Cingp_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_LH_ContB_PFCd_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_ContB_Temp_2,1,NA,NA,1,1,1
zDCwei_17Networks_LH_ContB_Temp_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_ContA_PFCl_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_ContA_PFCd_1,1,NA,1,NA,1,NA
zDCwei_17Networks_LH_LimbicA_TempPole_4,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SalVentAttnB_PFCmp_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_LH_SalVentAttnB_OFC_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SalVentAttnB_Ins_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SalVentAttnA_FrMed_2,0.110118353,1,NA,NA,1,1
zDCwei_17Networks_LH_SalVentAttnA_FrMed_1,0.142361443,1,NA,NA,1,1
zDCwei_17Networks_LH_SalVentAttnA_ParMed_1,0.859831334,NA,NA,NA,NA,1
zDCwei_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SalVentAttnA_ParOper_1,NA,NA,NA,NA,1,NA
zDCwei_17Networks_LH_DorsAttnB_PostC_6,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnB_PostC_4,NA,NA,1,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnB_PostC_2,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnB_PostC_1,1,NA,NA,1,1,1
zDCwei_17Networks_LH_DorsAttnA_SPL_1,1,NA,NA,1,NA,NA
zDCwei_17Networks_LH_DorsAttnA_ParOcc_1,0.990767346,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnA_TempOcc_4,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnA_TempOcc_3,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_DorsAttnA_TempOcc_2,NA,NA,NA,1,NA,1
zDCwei_17Networks_LH_DorsAttnA_TempOcc_1,NA,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SomMotB_S2_4,1,1,NA,NA,NA,NA
zDCwei_17Networks_LH_SomMotB_Aud_3,0.467143334,NA,NA,1,NA,NA
zDCwei_17Networks_LH_SomMotB_Aud_2,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_SomMotB_Aud_1,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_SomMotA_15,NA,NA,1,NA,NA,NA
zDCwei_17Networks_LH_SomMotA_14,NA,NA,1,NA,NA,NA
zDCwei_17Networks_LH_SomMotA_8,1,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_VisPeri_ExStrInf_3,0.624576642,NA,NA,NA,NA,NA
zDCwei_17Networks_LH_VisCent_ExStr_6,1,NA,NA,NA,NA,NA
zDCwei_lPFtha_R,NA,NA,1,NA,NA,NA
zDCwei_lPFtha_L,NA,NA,NA,NA,1,1
zDCwei_cTtha_L,NA,NA,1,NA,NA,NA
zDCwei_Otha_R,NA,NA,1,NA,NA,NA
zDCwei_mPMtha_L,NA,NA,1,NA,1,1
zDCwei_dlPu_L,NA,NA,NA,1,1,1
zDCwei_mAmyg_R,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_TempPar_9,NA,NA,NA,1,NA,NA
zDCbin_17Networks_RH_TempPar_8,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_TempPar_5,NA,NA,1,NA,NA,NA
zDCbin_17Networks_RH_TempPar_4,1,NA,1,1,0.993724241,0.324738075
zDCbin_17Networks_RH_DefaultC_PHC_2,NA,NA,NA,1,NA,NA
zDCbin_17Networks_RH_DefaultC_PHC_1,NA,NA,NA,1,NA,NA
zDCbin_17Networks_RH_DefaultA_PFCm_3,NA,NA,NA,1,NA,NA
zDCbin_17Networks_RH_DefaultA_PFCm_1,1,NA,1,NA,NA,NA
zDCbin_17Networks_RH_ContC_Cingp_2,NA,NA,NA,NA,NA,1
zDCbin_17Networks_RH_ContB_PFClv_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_ContA_PFCl_5,NA,NA,NA,NA,1,1
zDCbin_17Networks_RH_ContA_PFCl_4,NA,NA,NA,NA,1,1
zDCbin_17Networks_RH_ContA_IPS_3,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SalVentAttnB_PFCl_2,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SalVentAttnB_PFClv_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SalVentAttnA_FrMed_4,NA,NA,NA,NA,NA,1
zDCbin_17Networks_RH_SalVentAttnA_ParMed_4,NA,NA,NA,NA,1,1
zDCbin_17Networks_RH_SalVentAttnA_ParMed_2,1,NA,NA,1,1,1
zDCbin_17Networks_RH_SalVentAttnA_ParMed_1,NA,NA,NA,1,NA,NA
zDCbin_17Networks_RH_SalVentAttnA_ParOper_1,NA,NA,NA,0.059296877,0.170242116,0.255495797
zDCbin_17Networks_RH_DorsAttnB_FEF_3,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_DorsAttnB_FEF_1,NA,NA,NA,1,1,1
zDCbin_17Networks_RH_DorsAttnB_PostC_8,NA,NA,NA,NA,1,1
zDCbin_17Networks_RH_DorsAttnB_PostC_5,1,NA,NA,NA,1,NA
zDCbin_17Networks_RH_DorsAttnB_PostC_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_DorsAttnA_SPL_8,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_DorsAttnA_SPL_7,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_DorsAttnA_SPL_5,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_DorsAttnA_ParOcc_2,NA,NA,NA,1,1,NA
zDCbin_17Networks_RH_DorsAttnA_TempOcc_1,NA,NA,NA,1,1,1
zDCbin_17Networks_RH_SomMotB_Cent_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotB_S2_7,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotB_S2_6,NA,NA,NA,NA,1,1
zDCbin_17Networks_RH_SomMotB_S2_4,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotB_S2_3,NA,NA,1,NA,1,1
zDCbin_17Networks_RH_SomMotB_S2_2,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotB_S2_1,1,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotA_12,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_SomMotA_9,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotA_7,NA,NA,NA,NA,1,NA
zDCbin_17Networks_RH_SomMotA_6,NA,NA,1,NA,1,1
zDCbin_17Networks_RH_SomMotA_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_RH_VisPeri_ExStrInf_3,NA,NA,1,NA,NA,NA
zDCbin_17Networks_LH_TempPar_6,NA,NA,1,NA,NA,NA
zDCbin_17Networks_LH_TempPar_5,0.375751892,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_TempPar_3,0.564906086,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_TempPar_2,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DefaultC_PHC_3,1,NA,1,1,NA,1
zDCbin_17Networks_LH_DefaultC_IPL_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DefaultB_Temp_5,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DefaultA_pCunPCC_7,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_DefaultA_pCunPCC_1,NA,1,NA,NA,NA,NA
zDCbin_17Networks_LH_ContC_Cingp_2,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_ContC_Cingp_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_LH_ContB_PFCd_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_ContB_Temp_2,1,NA,NA,1,1,1
zDCbin_17Networks_LH_ContA_PFCl_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_ContA_PFClv_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_LH_ContA_PFCd_1,1,NA,1,NA,NA,NA
zDCbin_17Networks_LH_LimbicA_TempPole_4,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_SalVentAttnB_PFCmp_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_LH_SalVentAttnB_Ins_1,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,0.050241673,1,NA,NA,NA,1
zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0.029806288,1,NA,NA,1,1
zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,0.228122747,NA,1,NA,1,1
zDCbin_17Networks_LH_SalVentAttnA_FrOper_2,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SalVentAttnA_Ins_1,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_SalVentAttnA_ParOper_1,NA,NA,NA,NA,1,NA
zDCbin_17Networks_LH_DorsAttnB_PostC_8,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnB_PostC_6,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnB_PostC_4,NA,NA,0.313253393,NA,NA,1
zDCbin_17Networks_LH_DorsAttnB_PostC_2,0.282008868,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnB_PostC_1,1,NA,1,1,1,1
zDCbin_17Networks_LH_DorsAttnA_SPL_1,NA,NA,NA,1,NA,NA
zDCbin_17Networks_LH_DorsAttnA_ParOcc_1,0.724720801,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnA_TempOcc_4,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnA_TempOcc_3,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_DorsAttnA_TempOcc_2,NA,NA,NA,1,NA,1
zDCbin_17Networks_LH_SomMotB_S2_4,1,0.796541886,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotB_S2_3,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotB_Aud_3,0.250422345,NA,NA,1,NA,NA
zDCbin_17Networks_LH_SomMotB_Aud_2,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotB_Aud_1,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_SomMotA_15,NA,NA,1,NA,NA,NA
zDCbin_17Networks_LH_SomMotA_14,NA,NA,1,NA,NA,NA
zDCbin_17Networks_LH_SomMotA_8,1,NA,NA,NA,NA,NA
zDCbin_17Networks_LH_VisPeri_ExStrInf_3,0.492831256,NA,NA,NA,NA,NA
zDCbin_lPFtha_L,NA,NA,NA,NA,1,1
zDCbin_mPMtha_L,NA,NA,NA,NA,1,1
zDCbin_dlPu_L,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_TempPar_9,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_TempPar_7,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_TempPar_1,NA,NA,NA,1,NA,NA
zReHo_17Networks_RH_DefaultC_Rsp_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DefaultC_IPL_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DefaultB_PFCd_1,NA,1,NA,NA,NA,NA
zReHo_17Networks_RH_DefaultA_PFCm_5,NA,1,NA,NA,NA,NA
zReHo_17Networks_RH_DefaultA_pCunPCC_4,NA,NA,1,NA,NA,NA
zReHo_17Networks_RH_DefaultA_PFCd_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_ContB_IPL_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_ContB_Temp_2,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_ContA_PFCl_5,NA,NA,NA,1,1,NA
zReHo_17Networks_RH_ContA_IPS_4,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_LimbicA_TempPole_6,NA,NA,1,NA,NA,NA
zReHo_17Networks_RH_LimbicA_TempPole_5,NA,NA,NA,0.403487439,NA,NA
zReHo_17Networks_RH_LimbicB_OFC_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnB_PFCmp_2,1,NA,NA,NA,1,1
zReHo_17Networks_RH_SalVentAttnB_PFCmp_1,0.525975567,NA,NA,NA,NA,NA
zReHo_17Networks_RH_SalVentAttnB_Ins_2,NA,1,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnB_Ins_1,NA,NA,NA,NA,1,1
zReHo_17Networks_RH_SalVentAttnA_FrMed_4,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnA_FrMed_3,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnA_ParMed_3,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnA_ParMed_2,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnA_FrMed_1,NA,NA,NA,1,1,1
zReHo_17Networks_RH_SalVentAttnA_FrOper_3,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_SalVentAttnA_ParOper_3,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnB_FEF_2,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnB_PostC_7,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnB_PostC_6,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnB_PostC_2,NA,NA,NA,1,0.231534419,1
zReHo_17Networks_RH_DorsAttnB_PostC_1,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnA_SPL_6,NA,NA,NA,NA,1,NA
zReHo_17Networks_RH_DorsAttnA_SPL_1,NA,NA,NA,NA,1,NA
